Player,Strike Rate,Average Score,Batsman Match Count,Batsman Run,Six,Four,Out,One,Two,Three,Five,Fifty,Hundred,Wicket,Bowler Run,Economy Rate,Maiden,Bowler Match Count,Average Four,Average Six,Total Matches,Wicket Average,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,player_type,bowler_utility
SK Raina,134.9955476402493,28.968152866242036,157.0,4548.0,174.0,402.0,134.0,1377.0,242.0,10.0,1.0,31.0,1.0,25.0,1133.0,7.357142857142858,0.0,68.0,2.5605095541401277,1.10828025477707,157.0,0.1592356687898089,8.113057324840764,2.749777382012465,0.05414012738853502,0.5201698513800426,0.1592356687898089,0.4838709677419355,3.2849999999999993,11.437144685621806,Batsman,5.892159954797616
V Kohli,126.58843732112192,31.36879432624113,141.0,4423.0,160.0,384.0,118.0,1410.0,242.0,11.0,0.0,31.0,4.0,4.0,371.0,8.431818181818182,0.0,26.0,2.723404255319149,1.1347517730496457,141.0,0.02836879432624113,9.013297872340424,2.3294218660560957,0.06737588652482285,0.5744680851063829,0.02836879432624113,0.07741935483870968,3.0593181818181816,11.984563710027727,Batsman,4.747659496474699
RG Sharma,128.49725106902872,27.49673202614379,153.0,4207.0,173.0,354.0,129.0,1379.0,177.0,5.0,1.0,32.0,1.0,15.0,449.0,7.8771929824561395,0.0,30.0,2.313725490196078,1.130718954248366,153.0,0.09803921568627452,7.561274509803921,2.424862553451436,0.065359477124183,0.4379084967320261,0.09803921568627452,0.2903225806451613,3.17578947368421,10.489405037111565,Batsman,5.346226905023469
G Gambhir,120.36120011651614,28.301369863013697,146.0,4132.0,58.0,484.0,131.0,1313.0,245.0,15.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.315068493150685,0.3972602739726027,146.0,0.0,7.863013698630136,2.018060005825807,0.0,0.771689497716895,0.0,0.0,0.0,10.652763202172839,Batsman,0.0
DA Warner,138.3184011026878,35.21052631578947,114.0,4014.0,160.0,401.0,100.0,997.0,207.0,13.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,3.517543859649123,1.4035087719298245,114.0,0.0,10.453947368421053,2.9159200551343902,0.20175438596491224,0.8391812865497076,0.0,0.0,0.0,14.410803096070065,Batsman,0.0
RV Uthappa,127.63513513513512,26.41958041958042,143.0,3778.0,125.0,377.0,128.0,1087.0,191.0,12.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.636363636363636,0.8741258741258742,143.0,0.0,7.1573426573426575,2.3817567567567557,0.0,0.5454545454545453,0.0,0.0,0.0,10.084553959553958,Batsman,0.0
CH Gayle,144.19431279620852,36.51,100.0,3651.0,266.0,297.0,89.0,718.0,70.0,3.0,0.0,22.0,5.0,18.0,750.0,7.772020725388599,0.0,37.0,2.97,2.66,100.0,0.18,10.94125,3.209715639810426,0.8300000000000001,0.6566666666666667,0.18,0.34838709677419355,3.197875647668394,15.637632306477093,Batsman,5.589394116663882
S Dhawan,118.50249584026622,28.261904761904763,126.0,3561.0,71.0,401.0,109.0,1137.0,168.0,16.0,2.0,28.0,0.0,4.0,72.0,8.816326530612246,0.0,6.0,3.1825396825396823,0.5634920634920635,126.0,0.031746031746031744,7.8482142857142865,1.925124792013311,0.0,0.7275132275132274,0.031746031746031744,0.07741935483870968,2.978571428571428,10.500852305240825,Batsman,4.631605222734255
MS Dhoni,132.8358208955224,24.895104895104893,143.0,3560.0,156.0,251.0,94.0,1085.0,251.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7552447552447552,1.0909090909090908,143.0,0.0,6.585664335664335,2.64179104477612,0.045454545454545414,0.2517482517482517,0.0,0.0,0.0,9.524658177643252,Batsman,0.0
AB de Villiers,145.12905911740216,29.54237288135593,118.0,3486.0,158.0,287.0,91.0,980.0,187.0,12.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,2.4322033898305087,1.3389830508474576,118.0,0.0,8.328389830508474,3.2564529558701083,0.1694915254237288,0.47740112994350287,0.0,0.0,0.0,12.231735441745814,Batsman,0.0
