Player,Strike Rate,Average Score,Batsman Match Count,Batsman Run,Six,Four,Out,One,Two,Three,Five,Fifty,Hundred,Wicket,Bowler Run,Economy Rate,Maiden,Bowler Match Count,Average Four,Average Six,Total Matches,Wicket Average
SK Raina,134.99554764024933,28.96815286624204,157.0,4548.0,174.0,402.0,134.0,1377.0,242.0,10.0,1.0,31.0,1.0,25.0,1133.0,7.357142857142858,0.0,68.0,2.5605095541401273,1.10828025477707,157.0,0.1592356687898089
V Kohli,126.58843732112193,31.368794326241133,141.0,4423.0,160.0,384.0,118.0,1410.0,242.0,11.0,0.0,31.0,4.0,4.0,371.0,8.431818181818182,0.0,26.0,2.723404255319149,1.1347517730496455,141.0,0.028368794326241134
RG Sharma,128.49725106902872,27.49673202614379,153.0,4207.0,173.0,354.0,129.0,1379.0,177.0,5.0,1.0,32.0,1.0,15.0,449.0,7.87719298245614,0.0,30.0,2.3137254901960786,1.130718954248366,153.0,0.09803921568627451
G Gambhir,120.36120011651616,28.301369863013697,146.0,4132.0,58.0,484.0,131.0,1313.0,245.0,15.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.315068493150685,0.3972602739726027,146.0,0.0
DA Warner,138.3184011026878,35.21052631578947,114.0,4014.0,160.0,401.0,100.0,997.0,207.0,13.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,3.517543859649123,1.4035087719298245,114.0,0.0
RV Uthappa,127.63513513513513,26.41958041958042,143.0,3778.0,125.0,377.0,128.0,1087.0,191.0,12.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6363636363636362,0.8741258741258742,143.0,0.0
CH Gayle,144.19431279620852,36.51,100.0,3651.0,266.0,297.0,89.0,718.0,70.0,3.0,0.0,22.0,5.0,18.0,750.0,7.7720207253886,0.0,37.0,2.97,2.66,100.0,0.18
S Dhawan,118.50249584026622,28.261904761904763,126.0,3561.0,71.0,401.0,109.0,1137.0,168.0,16.0,2.0,28.0,0.0,4.0,72.0,8.816326530612246,0.0,6.0,3.1825396825396823,0.5634920634920635,126.0,0.031746031746031744
MS Dhoni,132.8358208955224,24.895104895104897,143.0,3560.0,156.0,251.0,94.0,1085.0,251.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7552447552447552,1.0909090909090908,143.0,0.0
AB de Villiers,145.12905911740216,29.54237288135593,118.0,3486.0,158.0,287.0,91.0,980.0,187.0,12.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,2.4322033898305087,1.3389830508474576,118.0,0.0
AM Rahane,117.48654880860876,29.114285714285714,105.0,3057.0,60.0,320.0,91.0,1039.0,168.0,14.0,0.0,25.0,1.0,1.0,5.0,5.0,0.0,1.0,3.0476190476190474,0.5714285714285714,105.0,0.009523809523809525
YK Pathan,140.75144508670522,21.969924812030076,133.0,2922.0,149.0,240.0,98.0,781.0,136.0,5.0,0.0,14.0,1.0,41.0,1421.0,7.312178387650086,0.0,80.0,1.8045112781954886,1.1203007518796992,133.0,0.3082706766917293
KD Karthik,123.00847457627117,21.66417910447761,134.0,2903.0,71.0,286.0,117.0,964.0,168.0,6.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1343283582089554,0.5298507462686567,134.0,0.0
BB McCullum,126.31820265933058,26.74757281553398,103.0,2755.0,124.0,277.0,98.0,690.0,102.0,3.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.6893203883495147,1.203883495145631,103.0,0.0
V Sehwag,148.82705946535734,26.23076923076923,104.0,2728.0,106.0,334.0,99.0,558.0,96.0,2.0,0.0,16.0,2.0,6.0,236.0,10.26086956521739,0.0,15.0,3.2115384615384617,1.0192307692307692,104.0,0.057692307692307696
SR Watson,134.83837865572087,26.816326530612244,98.0,2628.0,122.0,258.0,85.0,638.0,101.0,8.0,0.0,14.0,2.0,86.0,2490.0,7.6185619581846,0.0,94.0,2.63265306122449,1.2448979591836735,98.0,0.8775510204081632
Yuvraj Singh,126.39024390243902,22.336206896551722,116.0,2591.0,141.0,205.0,101.0,690.0,113.0,3.0,0.0,12.0,0.0,36.0,1068.0,7.373993095512083,0.0,71.0,1.7672413793103448,1.2155172413793103,116.0,0.3103448275862069
M Vijay,120.02868068833652,25.363636363636363,99.0,2511.0,89.0,237.0,95.0,663.0,155.0,17.0,1.0,13.0,2.0,0.0,49.0,7.945945945945946,0.0,4.0,2.393939393939394,0.898989898989899,99.0,0.0
SE Marsh,130.10977522216413,36.072463768115945,69.0,2489.0,78.0,269.0,63.0,724.0,99.0,6.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,3.898550724637681,1.1304347826086956,69.0,0.0
JH Kallis,105.93627237014405,25.54736842105263,95.0,2427.0,44.0,255.0,85.0,888.0,113.0,8.0,1.0,17.0,0.0,65.0,2348.0,7.8310172317954425,0.0,89.0,2.6842105263157894,0.4631578947368421,95.0,0.6842105263157895
AT Rayudu,123.0142566191446,23.00952380952381,105.0,2416.0,79.0,205.0,89.0,853.0,133.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9523809523809523,0.7523809523809524,105.0,0.0
DR Smith,132.27953410981698,27.102272727272727,88.0,2385.0,117.0,245.0,84.0,521.0,84.0,3.0,1.0,17.0,0.0,26.0,825.0,8.88689407540395,0.0,46.0,2.784090909090909,1.3295454545454546,88.0,0.29545454545454547
KA Pollard,140.62126642771804,21.017857142857142,112.0,2354.0,148.0,158.0,82.0,599.0,110.0,5.0,0.0,12.0,0.0,56.0,1785.0,8.393416927899686,0.0,81.0,1.4107142857142858,1.3214285714285714,112.0,0.5
SR Tendulkar,114.18786692759295,29.923076923076923,78.0,2334.0,29.0,296.0,69.0,721.0,117.0,7.0,0.0,13.0,1.0,0.0,59.0,9.567567567567567,0.0,4.0,3.7948717948717947,0.3717948717948718,78.0,0.0
