,0,1,2
0,SK Raina,10.049905249499147,Batsman
1,V Kohli,10.195883656007393,Batsman
2,RG Sharma,9.797174676563085,Batsman
3,G Gambhir,9.840736853912757,Batsman
4,DA Warner,10.842880825618684,Batsman
5,RV Uthappa,9.689214389214388,Batsman
6,CH Gayle,11.170035281727223,Batsman
7,S Dhawan,9.800227281397554,Batsman
8,MS Dhoni,9.539908847371533,Batsman
9,AB de Villiers,10.261796117798884,Batsman
10,AM Rahane,9.85992647088727,Batsman
11,YK Pathan,12.35565585166717,AllRounder
12,KD Karthik,9.107360092194394,Batsman
13,BB McCullum,9.736346261994958,Batsman
14,V Sehwag,10.006583015093653,Batsman
15,SR Watson,13.715960075331793,AllRounder
16,Yuvraj Singh,12.110548294824568,AllRounder
17,M Vijay,9.460651769447182,Batsman
18,SE Marsh,10.817083637422735,Batsman
19,JH Kallis,12.67844243921952,AllRounder
20,AT Rayudu,9.225798553863726,Batsman
21,DR Smith,9.876479646716753,Batsman
22,KA Pollard,12.351583091192307,AllRounder
23,SR Tendulkar,9.963245633108647,Batsman
24,PA Patel,8.843334077297921,Batsman
25,MK Pandey,9.194617975765293,Batsman
26,R Dravid,9.565226028694072,Batsman
27,AC Gilchrist,9.756978831725617,Batsman
28,JP Duminy,12.543284799324319,AllRounder
29,MEK Hussey,10.422694639735148,Batsman
30,DPMD Jayawardene,9.24086091549955,Batsman
31,RA Jadeja,9.207218788314378,Bowler
32,SPD Smith,9.803930149203968,Batsman
33,KC Sangakkara,9.426483439817876,Batsman
34,MK Tiwary,8.88991276770652,Batsman
35,AJ Finch,9.537461723534557,Batsman
36,DA Miller,9.563033070239845,Batsman
37,WP Saha,8.958448380228528,Batsman
38,NV Ojha,8.423695033886299,Batsman
39,S Badrinath,9.081872103799816,Batsman
40,SV Samson,9.203730367498885,Batsman
41,BJ Hodge,9.124432390925596,Batsman
42,SC Ganguly,9.09396053293112,Batsman
43,DJ Hussey,9.010440583076488,Batsman
44,F du Plessis,9.794369873228934,Batsman
45,SS Tiwary,8.76538091309131,Batsman
46,DJ Bravo,9.677904432533845,Bowler
47,GJ Maxwell,9.667117327117326,Batsman
48,KK Nair,9.329113263963642,Batsman
49,TM Dilshan,9.134322190385227,Batsman
50,IK Pathan,9.221549512886039,Bowler
51,Mandeep Singh,8.814384563226561,Batsman
52,ML Hayden,10.715834409349755,Batsman
53,LMP Simmons,10.873438413670916,Batsman
54,LRPL Taylor,8.704030929788505,Batsman
55,KP Pietersen,9.891946806084889,Batsman
