,Player,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,bowling_utility,player_type
0,SK Raina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.0,Bowler
1,V Kohli,9.013297872340424,2.3294218660560957,0.06737588652482285,0.5744680851063829,0.02836879432624113,0.07741935483870968,3.0593181818181816,11.984563710027727,-384.2523405035253,Batsman
2,RG Sharma,7.561274509803921,2.424862553451436,0.065359477124183,0.4379084967320261,0.09803921568627452,0.2903225806451613,3.17578947368421,10.489405037111565,-383.65377309497654,Batsman
3,G Gambhir,7.863013698630136,2.018060005825807,0.0,0.771689497716895,0.0,0.0,0.0,10.652763202172839,-388.0,Batsman
4,DA Warner,10.453947368421053,2.9159200551343902,0.20175438596491224,0.8391812865497076,0.0,0.0,0.0,14.410803096070065,-387.0,Batsman
5,RV Uthappa,7.1573426573426575,2.3817567567567557,0.0,0.5454545454545453,0.0,0.0,0.0,10.084553959553958,-386.0,Batsman
6,CH Gayle,10.94125,3.209715639810426,0.8300000000000001,0.6566666666666667,0.18,0.34838709677419355,3.197875647668394,15.637632306477093,-380.41060588333613,Batsman
7,S Dhawan,7.8482142857142865,1.925124792013311,0.0,0.7275132275132274,0.031746031746031744,0.07741935483870968,2.978571428571428,10.500852305240825,-380.36839477726573,Batsman
8,MS Dhoni,6.585664335664335,2.64179104477612,0.045454545454545414,0.2517482517482517,0.0,0.0,0.0,9.524658177643252,-384.0,Batsman
9,AB de Villiers,8.328389830508474,3.2564529558701083,0.1694915254237288,0.47740112994350287,0.0,0.0,0.0,12.231735441745814,-383.0,Batsman
10,AM Rahane,8.167857142857144,1.874327440430438,0.0,0.6825396825396824,0.009523809523809523,0.01935483870967742,3.7799999999999994,10.724724265827264,-376.28668202764976,Batsman
11,YK Pathan,5.488721804511279,3.037572254335261,0.06015037593984962,0.26817042606516295,0.3082706766917293,0.7935483870967742,3.2944425385934815,8.854614860851553,-375.405607596427,AllRounder
12,KD Karthik,5.374067164179104,2.150423728813558,0.0,0.37810945273631846,0.0,0.0,0.0,7.902600345728981,-381.0,Batsman
13,BB McCullum,7.2803398058252435,2.315910132966529,0.10194174757281538,0.5631067961165049,0.0,0.0,0.0,10.261298482481093,-380.0,Batsman
14,V Sehwag,7.086538461538462,3.441352973267867,0.009615384615384581,0.7371794871794872,0.0576923076923077,0.11612903225806452,2.6752173913043475,11.2746863066012,-374.7264419031179,Batsman
15,SR Watson,7.3061224489795915,2.7419189327860436,0.12244897959183676,0.5442176870748301,0.8775510204081632,1.664516129032258,3.2301019887812337,10.714708048432303,-370.3417462926675,AllRounder
16,Yuvraj Singh,5.626077586206895,2.319512195121951,0.10775862068965525,0.2557471264367816,0.3103448275862069,0.6967741935483871,3.2814614499424626,8.309095528455284,-372.5671292933844,AllRounder
17,M Vijay,6.761363636363637,2.001434034416826,0.0,0.4646464646464647,0.0,0.0,3.1613513513513514,9.227444135426929,-373.257972972973,Batsman
18,SE Marsh,10.77717391304348,2.505488761108205,0.06521739130434778,0.966183574879227,0.0,0.0,0.0,14.314063640335261,-377.0,Batsman
19,JH Kallis,6.830263157894736,1.296813618507202,0.0,0.5614035087719298,0.6842105263157895,1.2580645161290323,3.185486381322957,8.688480285173867,-369.3083578643483,AllRounder
20,AT Rayudu,5.878571428571427,2.1507128309572296,0.0,0.31746031746031744,0.0,0.0,0.0,8.346744576988975,-376.0,Batsman
